region,age,gender,pred_min,pred_max,avg_real_value
suwon,10,female,85878748236,90661715753 ,85992867025.3421 
suwon,10,male,106222626189 ,111487848507 ,106176290599.5520 
suwon,20,female,929214,954480 ,983615.9805 
suwon,20,male,1114428,1155977 ,1170265.0213 
suwon,30,female,85878748236,90661715753 ,85992867025.3421 
suwon,30,male,106222626189 ,111487848507 ,106176290599.5520 
yongin,10,female,622045270,759754131 ,1113478128.6053 
yongin,10,male,921075736,971810939 ,1210820357.3684 
yongin,20,female,20982130060,22187658391 ,24453881172.2894 
yongin,20,male,31128752811,32317652460 ,33106539228.3421 
yongin,30,female,62513296347,64538804694 ,64994701300.8421 
yongin,30,male,78658063641,80788786588 ,83214416999.3158 
,,,,,
