region,age,gender,avg_real_value,pred_min_Mar,pred_max_Mar,pred_min_Apr,pred_max_Apr,pred_min_May,pred_max_May
suwon,10,female,85992867025 ,85878748236 ,90661715753 ,81309293166 ,88471365789 ,87806280308 ,98326172400 
suwon,10,male,106176290600 ,106222626189 ,111487848507 ,98124539368 ,107468947913 ,105891445058 ,117136718328 
suwon,20,female,983616 ,929214 ,954480 ,841693 ,896588 ,911368 ,1000923 
suwon,20,male,1170265 ,1114428 ,1155977 ,1011339 ,1094836 ,1073893 ,1180404 
suwon,30,female,85992867025 ,85878748236 ,90661715753 ,81300000000 ,88471365789 ,87806280308 ,98326172400 
suwon,30,male,106176290600 ,106222626189 ,111487848507 ,98124539368 ,107468947913 ,105891445058 ,117136718328 
yongin,10,female,1113478129 ,622045270 ,759754131 ,622045270 ,734038322 ,622045270 ,875212122 
yongin,10,male,1210820357 ,921075736 ,971810939 ,902926543 ,953423879 ,1069982662 ,1092318599 
yongin,20,female,24453881172 ,20982130060 ,22187658391 ,20733685607 ,21527757816 ,22359517677 ,23468379292 
yongin,20,male,33106539228 ,31128752811 ,32317652460 ,29829158796 ,30973004781 ,31891194959 ,33128973351 
yongin,30,female,64994701301 ,62513296347 ,64538804694 ,63705797746 ,65653008833 ,66665992226 ,68228403445 
yongin,30,male,83214416999 ,78658063641 ,80788786588 ,77851579593 ,81816204146 ,81364497275 ,85736544549 
